round_id,toto_match_no,match_card_id,match_date,home_team,away_team,market_prob_home,market_prob_draw,market_prob_away,rf_prediction,rf_prob_away,rf_prob_draw,rf_prob_home,lgbm_prediction,lgbm_prob_away,lgbm_prob_draw,lgbm_prob_home,prediction,prob_away,prob_draw,prob_home,rf_weight,lgbm_weight,top_probability,second_probability,probability_margin,models_agree,model_max_probability_gap,edge_away,edge_draw,edge_home,best_edge,best_edge_pick,market_home_team,market_away_team,market_prob_home_market,market_prob_draw_market,market_prob_away_market,match_day,collected_at,source_url,home_team_normalization_method,away_team_normalization_method,value_ratio_away,log_value_ratio_away,value_ratio_draw,log_value_ratio_draw,value_ratio_home,log_value_ratio_home,best_value_ratio,best_value_pick,ai_top_probability,market_top_probability,ai_top_pick,market_top_pick,ai_market_agree,ai_probability_margin,market_probability_margin,market_overreaction_score,value_score,roi_priority_score,is_positive_edge,is_strong_edge,is_extreme_edge
1631,1,163101,2026-05-23,アビスパ福岡,ヴィッセル神戸,0.1336,0.2492,0.6172,A,0.3822739890471634,0.2975648102380098,0.3201612007148268,A,0.406614494475719,0.3078743390470885,0.2855111664771925,A,0.3920101912185857,0.30168862176164135,0.30630118701977305,0.6,0.4,0.3920101912185856,0.306301187019773,0.0857090041988126,True,0.0346500342376343,-0.22518980878141426,0.052488621761641346,0.17270118701977305,0.17270118701977305,H,アビスパ福岡,ヴィッセル神戸,0.1336,0.2492,0.6172,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,0.6351428892070411,-0.4539052830298892,1.2106284982409363,0.19113964479059012,2.2926735555372235,0.8297186280788973,2.2926735555372235,H,0.3920101912185857,0.6172,A,A,True,0.08570900419881267,0.368,0.22518980878141426,0.2755814389586026,0.2992012496674203,True,True,False
1631,2,163102,2026-05-23,鹿島アントラーズ,FC東京,0.5671,0.2303,0.2026,H,0.2376285050604979,0.2784226012010894,0.4839488937384126,H,0.2835080522910447,0.2504604268869937,0.4660315208219614,H,0.25598032395271664,0.26723773147545116,0.4767819445718322,0.6,0.4,0.4767819445718321,0.2672377314754511,0.209544213096381,True,0.0458795472305468,0.053380323952716635,0.03693773147545115,-0.09031805542816784,0.053380323952716635,A,鹿島アントラーズ,FC東京,0.5671,0.2303,0.2026,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,exact,1.2634764262226883,0.23386699015143156,1.16038962863852,0.14875583547828963,0.8407369856671348,-0.17347640791405475,1.2634764262226883,A,0.4767819445718322,0.5671,H,H,True,0.20954421309638105,0.33680000000000004,0.09031805542816784,0.049800617372706774,0.060236048551784584,True,False,False
1631,3,163103,2026-05-23,京都サンガF.C.,V・ファーレン長崎,0.3764,0.2229,0.4007,D,0.3181133799727824,0.3646927679493622,0.3171938520778555,H,0.2639517925908722,0.3373463183447917,0.398701889064336,D,0.2964487450200183,0.353754188107534,0.3497970668724477,0.6,0.4,0.353754188107534,0.3497970668724477,0.0039571212350862,False,0.0815080369864805,-0.10425125497998172,0.13085418810753402,-0.026602933127552297,0.13085418810753402,D,京都サンガF.C.,V・ファーレン長崎,0.3764,0.2229,0.4007,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,0.739827165011276,-0.3013386808590649,1.587053333815765,0.46187904766878285,0.9293227068874806,-0.07329923031783128,1.587053333815765,D,0.353754188107534,0.4007,D,A,False,0.003957121235086292,0.02429999999999999,0.046945811892465994,0.14056880940544017,0.14112505722612922,True,True,False
1631,4,163104,2026-05-24,ファジアーノ岡山,セレッソ大阪,0.2942,0.2616,0.4442,A,0.493279524495677,0.2259461406977404,0.2807743348065826,A,0.63929902424818,0.1313523739274487,0.2293486018243714,A,0.5516873243966782,0.1881086339896237,0.2602040416136981,0.6,0.4,0.5516873243966782,0.2602040416136981,0.2914832827829801,True,0.1460194997525029,0.10748732439667824,-0.07349136601037629,-0.03399595838630193,0.10748732439667824,A,ファジアーノ岡山,セレッソ大阪,0.2942,0.2616,0.4442,05/24,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,1.2419795686552864,0.2167065330179159,0.7190697017951977,-0.32979698326821666,0.8844460965795312,-0.12279370948974015,1.2419795686552864,A,0.5516873243966782,0.4442,A,A,True,0.29148328278298014,0.14999999999999997,0.10748732439667824,0.10357284853610337,0.13376260243459115,True,True,False
1631,5,163105,2026-05-24,東京ヴェルディ,横浜F・マリノス,0.4968999999999999,0.2466,0.2565,H,0.3212502023172264,0.2378355739996987,0.440914223683075,H,0.3843574560065401,0.2165694887269569,0.3990730552665031,H,0.3464931037929519,0.2293291398906019,0.4241777563164462,0.6,0.4,0.4241777563164462,0.3464931037929519,0.0776846525234943,True,0.0631072536893136,0.08999310379295189,-0.0172708601093981,-0.07272224368355368,0.08999310379295189,A,東京ヴェルディ,横浜F・マリノス,0.49689999999999995,0.24660000000000004,0.25650000000000006,05/24,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,1.3508503071849975,0.3007342513476335,0.929964070927015,-0.07260932699293668,0.853648131045374,-0.15823619463603247,1.3508503071849975,A,0.4241777563164462,0.4968999999999999,H,H,True,0.07768465252349432,0.2403999999999999,0.07272224368355368,0.08656665954500145,0.09329156041187453,True,False,False
1631,6,163106,2026-05-23,サンフレッチェ広島,名古屋グランパス,0.498,0.201,0.301,H,0.3025080739040536,0.308301442775681,0.3891904833202652,H,0.2508573211329162,0.32597299263769,0.4231696862293937,H,0.28184777279559875,0.31537006272048457,0.40278216448391674,0.6,0.4,0.4027821644839166,0.3153700627204845,0.087412101763432,True,0.0516507527711374,-0.01915222720440124,0.11437006272048456,-0.09521783551608326,0.11437006272048456,D,サンフレッチェ広島,名古屋グランパス,0.498,0.201,0.301,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,0.936371338191358,-0.06574315234370108,1.5690052871665898,0.4504418435135989,0.808799527076138,-0.2122041959989222,1.5690052871665898,D,0.40278216448391674,0.498,H,H,True,0.08741210176343217,0.197,0.09521783551608326,0.1258626890307471,0.13686461121252197,True,True,False
1631,7,163107,2026-05-23,柏レイソル,ジェフユナイテッド千葉,0.7126,0.172,0.1153999999999999,H,0.2993865536085335,0.3427889414548498,0.3578245049366165,H,0.3132998461911274,0.3044433630552416,0.3822567907536311,H,0.3049518706415711,0.3274507100950066,0.3675974192634224,0.6,0.4,0.3675974192634224,0.3274507100950066,0.0401467091684157,True,0.0383455783996082,0.1895518706415712,0.1554507100950066,-0.34500258073657764,0.1895518706415712,A,柏レイソル,ジェフユナイテッド千葉,0.7126000000000001,0.17200000000000001,0.11539999999999992,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,2.642563870377568,0.971749608906321,1.9037831982267828,0.6438430634083641,0.515853801941373,-0.661931883216963,2.642563870377568,A,0.3675974192634224,0.7126,H,H,True,0.040146709168415784,0.5406,0.34500258073657764,0.34251677371097644,0.3562676950104551,True,True,False
1631,8,163108,2026-05-24,水戸ホーリーホック,川崎フロンターレ,0.1607,0.2014999999999999,0.6378,A,0.364662172567591,0.2924894618634296,0.3428483655689794,A,0.4872422852841004,0.1894134733614948,0.3233442413544048,A,0.4136942176541948,0.2512590664626557,0.3350467158831496,0.6,0.4,0.4136942176541948,0.3350467158831496,0.0786475017710451,True,0.1225801127165094,-0.22410578234580525,0.04975906646265582,0.1743467158831496,0.1743467158831496,H,水戸ホーリーホック,川崎フロンターレ,0.1607,0.2014999999999999,0.6378,05/24,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,0.6486268699501329,-0.43289765835349353,1.2469432578791853,0.2206951627589904,2.0849204473126917,0.7347306997567581,2.0849204473126917,H,0.4136942176541948,0.6378,A,A,True,0.07864750177104518,0.43630000000000013,0.22410578234580525,0.25693824044319874,0.27714579116350446,True,True,False
1631,9,163109,2026-05-24,清水エスパルス,ガンバ大阪,0.2496,0.2935,0.4569,A,0.3547003357207136,0.329730717652504,0.3155689466267822,A,0.4519562404710417,0.283904566055632,0.2641391934733263,A,0.3936026976208449,0.3114002570137553,0.2949970453653998,0.6,0.4,0.3936026976208449,0.3114002570137553,0.0822024406070895,True,0.097255904750328,-0.0632973023791551,0.017900257013755305,0.04539704536539979,0.04539704536539979,H,清水エスパルス,ガンバ大阪,0.2496,0.2935,0.4569,05/24,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,0.8614635535584262,-0.1491225297031178,1.0609889506431185,0.05920144548065245,1.1818791881626594,0.16710570408388042,1.1818791881626594,H,0.3936026976208449,0.4569,A,A,True,0.08220244060708959,0.1634,0.0632973023791551,0.037386056319856704,0.04045928139402303,True,False,False
1631,10,163110,2026-05-23,北海道コンサドーレ札幌,ジュビロ磐田,0.682,0.1601,0.1578999999999999,A,0.3617878177932055,0.2981590692053307,0.3400531130014638,A,0.351077184606252,0.3333233835001324,0.3155994318936155,A,0.35750356451842413,0.31222479492325145,0.33027164055832453,0.6,0.4,0.3575035645184241,0.3302716405583245,0.0272319239600996,True,0.0351643142948017,0.19960356451842423,0.15212479492325146,-0.3517283594416755,0.19960356451842423,A,北海道コンサドーレ札幌,ジュビロ磐田,0.682,0.1601,0.1578999999999999,05/23,2026-07-15T00:01:56,https://sp.toto-dream.com/dcs/subos/screen/si01/ssin025/PGSSIN02501ForwardVotetotoSP.form?commodityId=01&fromId=SSIN026&gameAssortment=9&holdCntId=1631,alias,alias,2.264113771490971,0.8171834115036662,1.9501861019565987,0.667924804922664,0.48426926768082773,-0.7251141887806903,2.264113771490971,A,0.35750356451842413,0.682,A,H,False,0.027231923960099602,0.5219,0.3244964354815759,0.30674502087383143,0.31509827795740675,True,True,False
